,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,Buyout,Rank,Games Won,Games Lost,Games Tied,Games Played,Win_Percent,Fuzzy_Score_Record,match_name_Record,School_Record,Stadium,City,State_x,Capacity,Record1,Built,Expanded,Surface,Conference_Stadium,Capacity_Thousands,Fuzzy_Score_Stadium,match_name_Stadium,School_Stadium,State_y,GSR,FGR,Conference_GradFB,Fuzzy_Score_GradFB,match_name_GradFB,School_FBgrad,Total Revenue,Total Expenses,Total Allocated,FinancialRank,Percent_Allocated,Conference_Finance,Fuzzy_Score_finance,match_name_finance,School_finance
57,Memphis,AAC,Mike Norvell,2600000,2600000,775000,185000,"$7,431,667 ",107t,2,10,0,12,0.16667,100,Memphis,Memphis,,,,,,,,,,,,,,,,,,,,,48716830,48443158,18257221,60,37.48,AAC,100,Memphis,Memphis
58,Miami (Fla.),ACC,Mark Richt,4058061,4058061,--,--,--,,,,,,,,,,,,,,,,,,,,,,,FL,68,65,ACC,81,Miami (Fla.),Miami (Florida),,,,,,,,,
59,Miami (Ohio),MAC,Chuck Martin,524826,524826,582110,12669,"$522,300 ",107t,2,10,0,12,0.16667,82,Miami (Ohio),Miami-Ohio,Fred C. Yager Stadium,Oxford,OH,24286,30087,1983,2005,FieldTurf,MAC,24.286,82,Miami (Ohio),Miami (OH),OH,75,57,MAC,100,Miami (Ohio),Miami (Ohio),37766348,36097843,24693963,77,65.39,MAC,100,Miami (Ohio),Miami (Ohio)
60,Michigan,Big Ten,Jim Harbaugh,7504000,7504000,1325000,150000,"$17,111,110 ",6t,11,2,0,13,0.84615,100,Michigan,Michigan,Michigan Stadium,Ann Arbor,MI,107601,115109,1927,2015,FieldTurf Duraspine,Big Ten,107.601,100,Michigan,Michigan,MI,71,63,Big Ten,100,Michigan,Michigan,185173187,175425392,280647,4,0.15,Big Ten,100,Michigan,Michigan
61,Michigan State,Big Ten,Mark Dantonio,4390417,4390417,650000,125000,"$7,000,000 ",81t,4,8,0,12,0.33333,100,Michigan State,Michigan State,Spartan Stadium,East Lansing,MI,75005,80401,1923,2005,Grass,Big Ten,75.005,100,Michigan State,Michigan State,MI,45,39,Big Ten,100,Michigan State,Michigan State,126021377,117506272,901057,21,0.72,Big Ten,100,Michigan State,Michigan State
62,Middle Tennessee,C-USA,Rick Stockstill,801504,803004,126142,65142,"$6,633,774 ",50t,7,6,0,13,0.53846,84,Middle Tennessee,Middle Tennessee State,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,31000,30502,1933,1998,Synthetic Turf,C-USA,31,100,Middle Tennessee,Middle Tennessee,,,,,,,,34040334,34040334,22376798,87,65.74,C-USA,100,Middle Tennessee,Middle Tennessee
63,Minnesota,Big Ten,P.J. Fleck,3550000,3550000,900000,0,"$9,291,667 ",69t,6,7,0,13,0.46154,100,Minnesota,Minnesota,TCF Bank Stadium,Minneapolis,MN,50805,54147,2009,,FieldTurf,Big Ten,50.805,100,Minnesota,Minnesota,,,,,,,,116376862,114201678,14817134,25,12.73,Big Ten,100,Minnesota,Minnesota
64,Mississippi,SEC,Matt Luke,3000000,3000000,1550000,--,$0 ,81t,4,8,0,12,0.33333,100,Mississippi,Mississippi,Vaught–Hemingway Stadium at Hollingsworth Field,Oxford,MS,64038,66176,1915,2016,Grass,SEC,64.038,100,Mississippi,Mississippi,MS,58,49,SEC,100,Mississippi,Mississippi,117834511,108885512,2784879,24,2.36,SEC,100,Mississippi,Mississippi
65,Mississippi State,SEC,Joe Moorhead,2600000,2600000,1350000,--,$0 ,98t,3,9,0,12,0.25,100,Mississippi State,Mississippi State,Davis Wade Stadium at Scott Field,Starkville,MS,61337,62945,1914,2014,Prescription Athletic Turf (Tifway 419 Bermuda Grass),SEC,61.337,100,Mississippi State,Mississippi State,MS,57,56,SEC,100,Mississippi State,Mississippi State,100062237,86351432,0,31,0,SEC,100,Mississippi State,Mississippi State
66,Missouri,SEC,Barry Odom,2350000,2350000,1025000,375000,"$1,912,500 ",38t,8,5,0,13,0.61538,100,Missouri,Missouri,Faurot Field at Memorial Stadium,Columbia,MO,71168,75298,1927,2014,FieldTurf,SEC,71.168,100,Missouri,Missouri,,,,,,,,97848195,102409131,1015000,32,1.04,SEC,100,Missouri,Missouri
